MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,YawDeg,AngX,AngY,AngZ
352701299635,352699299635,352.701299635,352.699299635,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.012744665688643547,5.217,1.203,-160.333
352711317094,352709317094,352.711317094,352.709317094,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.012437494864698988,5.216,1.204,-160.34
352721513343,352719513343,352.721513343,352.719513343,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.01240398533787771,5.215,1.205,-160.347
352731627926,352729627926,352.731627926,352.729627926,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.012567350014253879,5.214,1.206,-160.354
352741658219,352739658219,352.741658219,352.739658219,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.012872930846384082,5.214,1.207,-160.361
352751831135,352749831135,352.751831135,352.749831135,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.013288375894269813,5.213,1.208,-160.368
352761870761,352759870761,352.761870761,352.759870761,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.013772427814382628,5.212,1.209,-160.376
352771903970,352769903970,352.77190397,352.76990397,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.014309907227291033,5.211,1.21,-160.383
352781950012,352779950012,352.781950012,352.779950012,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.014886636514716887,5.211,1.21,-160.39
352792176594,352790176594,352.792176594,352.790176594,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.015502902521663904,5.21,1.211,-160.397
352802220595,352800220595,352.802220595,352.800220595,-0.022,0.089,0.996,0.0,0.0,0.0,-0.014278919550383237,5.209,1.212,-160.404
352812274221,352810274221,352.812274221,352.810274221,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.013577235817768709,5.209,1.213,-160.412
352822510719,352820510719,352.822510719,352.820510719,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.013254674914588406,5.208,1.214,-160.419
352832534303,352830534303,352.832534303,352.830534303,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.013211585923655933,5.207,1.215,-160.426
352842622929,352840622929,352.842622929,352.840622929,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.01336763272572686,5.207,1.216,-160.433
352852650596,352850650596,352.852650596,352.850650596,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.013667367525449836,5.206,1.217,-160.44
352862877470,352860877470,352.86287747,352.86087747,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.014079625486977094,5.206,1.218,-160.447
352872890263,352870890263,352.872890263,352.870890263,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.014560801526990937,5.206,1.219,-160.454
352883119761,352881119761,352.883119761,352.881119761,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.015107156843094677,5.205,1.22,-160.46
352893143345,352891143345,352.893143345,352.891143345,-0.023,0.09,0.996,0.0,0.0,-0.671,-0.0156817442739164,5.205,1.221,-160.467
352903187929,352901187929,352.903187929,352.901187929,-0.023,0.09,0.996,0.0,0.0,0.0,-0.014433524815375208,5.204,1.222,-160.474
