MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2190154038080,2190152038080,2190.15403808,2190.15203808,-0.115,0.062,0.993,0.0,0.0,-0.122
2190164248329,2190162248329,2190.164248329,2190.162248329,-0.115,0.062,0.993,0.0,0.0,-0.122
2190174448662,2190172448662,2190.174448662,2190.172448662,-0.115,0.062,0.993,0.0,0.0,0.0
2190184763035,2190182763035,2190.184763035,2190.182763035,-0.115,0.062,0.993,0.0,0.0,-0.122
2190195024618,2190193024618,2190.195024618,2190.193024618,-0.115,0.062,0.993,0.0,0.0,-0.122
2190205190826,2190203190826,2190.205190826,2190.203190826,-0.115,0.062,0.993,0.0,0.0,-0.122
2190215361118,2190213361118,2190.215361118,2190.213361118,-0.115,0.062,0.993,0.0,0.0,-0.122
2190225576617,2190223576617,2190.225576617,2190.223576617,-0.115,0.062,0.993,0.0,0.0,-0.122
2190235978781,2190233978781,2190.235978781,2190.233978781,-0.115,0.062,0.993,0.0,0.0,-0.122
2190246540193,2190244540193,2190.246540193,2190.244540193,-0.115,0.062,0.993,0.0,0.0,-0.122
2190256434571,2190254434571,2190.256434571,2190.254434571,-0.115,0.062,0.993,0.0,0.0,-0.122
2190266662195,2190264662195,2190.266662195,2190.264662195,-0.115,0.062,0.993,0.0,0.0,-0.122
2190276996027,2190274996027,2190.276996027,2190.274996027,-0.115,0.062,0.993,0.0,0.0,-0.122
2190287215318,2190285215318,2190.287215318,2190.285215318,-0.115,0.062,0.993,0.0,0.0,-0.122
2190297425567,2190295425567,2190.297425567,2190.295425567,-0.115,0.062,0.993,0.0,0.0,-0.122
2190307678108,2190305678108,2190.307678108,2190.305678108,-0.115,0.062,0.993,0.0,0.0,-0.061
2190317872899,2190315872899,2190.317872899,2190.315872899,-0.115,0.062,0.993,0.0,0.0,-0.061
2190328082857,2190326082857,2190.328082857,2190.326082857,-0.115,0.062,0.993,0.0,0.0,-0.061
2190338337439,2190336337439,2190.338337439,2190.336337439,-0.115,0.062,0.993,0.0,0.0,-0.122
2190348529897,2190346529897,2190.348529897,2190.346529897,-0.115,0.062,0.993,0.0,0.0,-0.122
2190358923894,2190356923894,2190.358923894,2190.356923894,-0.115,0.062,0.993,0.0,0.0,-0.122
2190369168852,2190367168852,2190.369168852,2190.367168852,-0.115,0.062,0.992,0.0,0.0,-0.122
2190379344685,2190377344685,2190.379344685,2190.377344685,-0.115,0.062,0.992,0.0,0.0,-0.122
2190389555809,2190387555809,2190.389555809,2190.387555809,-0.115,0.062,0.992,0.0,0.0,-0.122
2190399794058,2190397794058,2190.399794058,2190.397794058,-0.115,0.062,0.992,0.0,0.0,-0.061
2190410175514,2190408175514,2190.410175514,2190.408175514,-0.115,0.062,0.992,0.0,0.0,-0.061
2190420377889,2190418377889,2190.420377889,2190.418377889,-0.115,0.062,0.992,0.0,0.0,-0.061
2190430596305,2190428596305,2190.430596305,2190.428596305,-0.115,0.062,0.992,0.0,0.0,-0.122
2190440849429,2190438849429,2190.440849429,2190.438849429,-0.115,0.062,0.992,0.0,0.0,-0.122
2190451034887,2190449034887,2190.451034887,2190.449034887,-0.115,0.062,0.992,0.0,0.0,-0.122
2190461241636,2190459241636,2190.461241636,2190.459241636,-0.115,0.062,0.992,0.0,0.0,-0.122
2190471461219,2190469461219,2190.471461219,2190.469461219,-0.115,0.062,0.992,0.0,0.0,-0.122
2190481812633,2190479812633,2190.481812633,2190.479812633,-0.115,0.062,0.992,0.0,0.0,-0.061
2190492032799,2190490032799,2190.492032799,2190.490032799,-0.115,0.062,0.992,0.0,0.0,-0.122
2190502300507,2190500300507,2190.502300507,2190.500300507,-0.115,0.062,0.992,0.0,0.0,-0.122
2190512466715,2190510466715,2190.512466715,2190.510466715,-0.115,0.062,0.992,0.0,0.0,-0.122
2190522704089,2190520704089,2190.522704089,2190.520704089,-0.115,0.062,0.992,0.0,0.0,-0.122
2190532910839,2190530910839,2190.532910839,2190.530910839,-0.115,0.062,0.992,0.0,0.0,-0.061
2190543286169,2190541286169,2190.543286169,2190.541286169,-0.115,0.062,0.992,0.0,0.0,-0.061
2190553520335,2190551520335,2190.553520335,2190.551520335,-0.115,0.062,0.992,0.0,0.0,-0.061
2190572582851,2190570582851,2190.572582851,2190.570582851,-0.115,0.062,0.992,0.0,0.0,-0.061
2190584418247,2190582418247,2190.584418247,2190.582418247,-0.115,0.062,0.992,0.0,0.0,-0.061
2190594615955,2190592615955,2190.594615955,2190.592615955,-0.115,0.062,0.992,0.0,0.0,-0.061
2190604831746,2190602831746,2190.604831746,2190.602831746,-0.115,0.062,0.992,0.0,0.0,-0.061
2190615072037,2190613072037,2190.615072037,2190.613072037,-0.114,0.062,0.992,0.0,0.0,-0.061
2190625292494,2190623292494,2190.625292494,2190.623292494,-0.114,0.062,0.992,0.0,0.0,-0.061
2190635524035,2190633524035,2190.635524035,2190.633524035,-0.114,0.062,0.992,0.0,0.0,-0.061
2190646004073,2190644004073,2190.646004073,2190.644004073,-0.114,0.062,0.992,0.0,0.0,-0.061
2190656608943,2190654608943,2190.656608943,2190.654608943,-0.114,0.062,0.992,0.0,0.0,-0.061
2190666521113,2190664521113,2190.666521113,2190.664521113,-0.114,0.062,0.992,0.0,0.0,-0.122
2190676667779,2190674667779,2190.676667779,2190.674667779,-0.114,0.062,0.992,0.0,0.0,-0.061
2190686930820,2190684930820,2190.68693082,2190.68493082,-0.114,0.062,0.992,0.0,0.0,-0.122
2190697199402,2190695199402,2190.697199402,2190.695199402,-0.114,0.062,0.992,0.0,0.0,-0.122
2190707354819,2190705354819,2190.707354819,2190.705354819,-0.114,0.062,0.992,0.0,0.0,-0.122
2190717585776,2190715585776,2190.717585776,2190.715585776,-0.114,0.062,0.992,0.0,0.0,-0.122
2190727801859,2190725801859,2190.727801859,2190.725801859,-0.114,0.062,0.992,0.0,0.0,-0.122
2190738015025,2190736015025,2190.738015025,2190.736015025,-0.114,0.062,0.992,0.0,0.0,-0.122
2190748232275,2190746232275,2190.748232275,2190.746232275,-0.113,0.062,0.993,0.0,0.0,-0.122
2190758458566,2190756458566,2190.758458566,2190.756458566,-0.113,0.062,0.993,0.0,0.0,-0.122
2190768668815,2190766668815,2190.768668815,2190.766668815,-0.113,0.062,0.993,0.0,0.0,-0.122
2190779140686,2190777140686,2190.779140686,2190.777140686,-0.113,0.062,0.993,0.0,0.0,-0.122
2190789564433,2190787564433,2190.789564433,2190.787564433,-0.113,0.062,0.993,0.0,0.0,-0.122
2190800038054,2190798038054,2190.800038054,2190.798038054,-0.113,0.062,0.993,0.0,0.0,-0.122
2190810417468,2190808417468,2190.810417468,2190.808417468,-0.113,0.062,0.993,0.0,0.0,-0.122
2190820786383,2190818786383,2190.820786383,2190.818786383,-0.113,0.062,0.993,0.0,0.0,-0.122
2190831165213,2190829165213,2190.831165213,2190.829165213,-0.113,0.062,0.993,0.0,0.0,-0.122
2190841471420,2190839471420,2190.84147142,2190.83947142,-0.113,0.062,0.993,0.0,0.0,-0.122
2190851488005,2190849488005,2190.851488005,2190.849488005,-0.113,0.062,0.993,0.0,0.0,-0.122
2190861737921,2190859737921,2190.861737921,2190.859737921,-0.113,0.062,0.993,0.0,0.0,-0.122
2190871707548,2190869707548,2190.871707548,2190.869707548,-0.113,0.062,0.993,0.0,0.0,-0.122
2190881965047,2190879965047,2190.881965047,2190.879965047,-0.113,0.062,0.993,0.0,0.0,-0.122
2190892201838,2190890201838,2190.892201838,2190.890201838,-0.113,0.062,0.993,0.0,0.0,-0.122
2190902577460,2190900577460,2190.90257746,2190.90057746,-0.113,0.062,0.993,0.0,0.0,0.0
2190912911667,2190910911667,2190.912911667,2190.910911667,-0.113,0.062,0.993,0.0,0.0,-0.122
2190923213790,2190921213790,2190.92321379,2190.92121379,-0.113,0.062,0.993,0.0,0.0,-0.122
2190933613037,2190931613037,2190.933613037,2190.931613037,-0.113,0.062,0.993,0.0,0.0,-0.122
2190943946077,2190941946077,2190.943946077,2190.941946077,-0.113,0.062,0.993,0.0,0.0,-0.122
2190954328991,2190952328991,2190.954328991,2190.952328991,-0.113,0.062,0.993,0.0,0.0,-0.122
2190964757113,2190962757113,2190.964757113,2190.962757113,-0.113,0.062,0.993,0.0,0.0,-0.122
2190975284983,2190973284983,2190.975284983,2190.973284983,-0.113,0.062,0.993,0.0,0.0,-0.122
2190985692397,2190983692397,2190.985692397,2190.983692397,-0.113,0.062,0.993,0.0,0.0,-0.122
2190996066853,2190994066853,2190.996066853,2190.994066853,-0.113,0.062,0.993,0.0,0.0,-0.122
2191006445100,2191004445100,2191.0064451,2191.0044451,-0.113,0.062,0.993,0.0,0.0,-0.122
2191016851639,2191014851639,2191.016851639,2191.014851639,-0.113,0.062,0.993,0.0,0.0,-0.122
2191027394676,2191025394676,2191.027394676,2191.025394676,-0.113,0.062,0.993,0.0,0.0,-0.122
2191037771465,2191035771465,2191.037771465,2191.035771465,-0.113,0.062,0.993,0.0,0.0,-0.122
2191048180629,2191046180629,2191.048180629,2191.046180629,-0.113,0.062,0.993,0.0,0.0,-0.122
2191058577834,2191056577834,2191.058577834,2191.056577834,-0.113,0.062,0.993,0.0,0.0,0.0
2191069055539,2191067055539,2191.069055539,2191.067055539,-0.113,0.062,0.993,0.0,0.0,-0.122
2191082601247,2191080601247,2191.082601247,2191.080601247,-0.113,0.062,0.993,0.0,0.0,-0.122
2191089425080,2191087425080,2191.08942508,2191.08742508,-0.113,0.062,0.993,0.0,0.0,-0.122
