EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temperature,FrameType
2191.622682791,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.633086413,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.643445702,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.653828616,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.664397903,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.6747989,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.685225855,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.695563853,-0.115,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2191.705977975,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.716346306,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.726729803,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.737116509,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.74750934,-0.115,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2191.757896337,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.768403208,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.778831329,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.789246326,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.799617574,-0.115,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2191.809830157,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.820056156,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.830433528,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.840823151,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
