MonoNS,EstNS,MonoS,EstS,SensorID,Src,East_Vel(m_s),North_Vel(m_s),Up_Vel(m_s)
3179312293192,3179262293192,3179.312293192,3179.262293192,DVL_H1000,BI,0.538,0.009,0.008
3180307172586,3180257172586,3180.307172586,3180.257172586,DVL_H1000,BI,0.549,0.003,-0.003
3180315553816,3180265553816,3180.315553816,3180.265553816,DVL_H1000,BE,0.532,0.026,0.009
3181307321914,3181257321914,3181.307321914,3181.257321914,DVL_H1000,BI,0.483,0.0,0.0
3182292765674,3182242765674,3182.292765674,3182.242765674,DVL_H1000,BI,0.466,0.012,-0.005
3182298463021,3182248463021,3182.298463021,3182.248463021,DVL_H1000,BE,0.395,0.235,0.004
3183288896094,3183238896094,3183.288896094,3183.238896094,DVL_H1000,BI,0.455,0.014,0.005
3183296601333,3183246601333,3183.296601333,3183.246601333,DVL_H1000,BE,0.442,0.122,0.009
3184293206497,3184243206497,3184.293206497,3184.243206497,DVL_H1000,BI,0.455,0.024,0.002
3184297249822,3184247249822,3184.297249822,3184.247249822,DVL_H1000,BE,0.423,0.184,0.0
3185274768179,3185224768179,3185.274768179,3185.224768179,DVL_H1000,BI,0.479,0.019,0.004
3185281279849,3185231279849,3185.281279849,3185.231279849,DVL_H1000,BE,0.452,0.163,0.008
3186271007347,3186221007347,3186.271007347,3186.221007347,DVL_H1000,BI,0.47,0.02,-0.01
3186279180330,3186229180330,3186.27918033,3186.22918033,DVL_H1000,BE,0.39,0.266,0.008
3187271053594,3187221053594,3187.271053594,3187.221053594,DVL_H1000,BI,0.476,0.013,0.006
3187279013955,3187229013955,3187.279013955,3187.229013955,DVL_H1000,BE,0.45,0.15,0.007
3188258382997,3188208382997,3188.258382997,3188.208382997,DVL_H1000,BI,0.48,0.012,0.004
3188263885513,3188213885513,3188.263885513,3188.213885513,DVL_H1000,BE,0.419,0.243,0.0
3189256743098,3189206743098,3189.256743098,3189.206743098,DVL_H1000,BI,0.48,0.012,0.004
3190256404308,3190206404308,3190.256404308,3190.206404308,DVL_H1000,BI,0.477,0.009,0.005
3190262963227,3190212963227,3190.262963227,3190.212963227,DVL_H1000,BE,0.389,0.261,0.009
3191239147309,3191189147309,3191.239147309,3191.189147309,DVL_H1000,BI,0.471,0.022,-0.015
3191245646146,3191195646146,3191.245646146,3191.195646146,DVL_H1000,BE,0.444,0.152,0.005
3192239061682,3192189061682,3192.239061682,3192.189061682,DVL_H1000,BI,0.47,0.039,-0.008
3192244696321,3192194696321,3192.244696321,3192.194696321,DVL_H1000,BE,0.398,0.239,0.005
3193239130637,3193189130637,3193.239130637,3193.189130637,DVL_H1000,BI,0.441,0.0,0.0
3193244813400,3193194813400,3193.2448134,3193.1948134,DVL_H1000,BE,0.243,0.354,0.015
3194222017428,3194172017428,3194.222017428,3194.172017428,DVL_H1000,BI,0.402,0.003,-0.009
3194227604526,3194177604526,3194.227604526,3194.177604526,DVL_H1000,BE,0.354,0.187,0.008
3195220882147,3195170882147,3195.220882147,3195.170882147,DVL_H1000,BI,0.271,0.015,0.005
3195227431442,3195177431442,3195.227431442,3195.177431442,DVL_H1000,BE,0.149,0.234,0.008
3196220879311,3196170879311,3196.220879311,3196.170879311,DVL_H1000,BI,0.144,0.015,0.0
3197204077307,3197154077307,3197.204077307,3197.154077307,DVL_H1000,BI,0.093,0.001,0.0
3198204006888,3198154006888,3198.204006888,3198.154006888,DVL_H1000,BI,0.079,0.008,0.0
3199203566891,3199153566891,3199.203566891,3199.153566891,DVL_H1000,BI,0.073,0.001,0.0
3200185865606,3200135865606,3200.185865606,3200.135865606,DVL_H1000,BI,0.019,0.005,0.0
3201185355318,3201135355318,3201.185355318,3201.135355318,DVL_H1000,BI,-0.004,0.003,0.0
3202185692603,3202135692603,3202.185692603,3202.135692603,DVL_H1000,BI,0.0,0.008,0.0
3203167575823,3203117575823,3203.167575823,3203.117575823,DVL_H1000,BI,0.011,0.007,-0.003
3204167073701,3204117073701,3204.167073701,3204.117073701,DVL_H1000,BI,0.002,0.01,0.002
3208148439253,3208098439253,3208.148439253,3208.098439253,DVL_H1000,BI,-0.002,0.005,0.0
3209129046405,3209079046405,3209.129046405,3209.079046405,DVL_H1000,BI,0.005,0.005,0.0
3212109034310,3212059034310,3212.10903431,3212.05903431,DVL_H1000,BI,-0.011,0.025,0.0
3214107946359,3214057946359,3214.107946359,3214.057946359,DVL_H1000,BI,-0.012,0.004,0.0
3215090109826,3215040109826,3215.090109826,3215.040109826,DVL_H1000,BI,-0.118,0.067,0.0
3216089643870,3216039643870,3216.08964387,3216.03964387,DVL_H1000,BI,-0.035,0.008,0.0
3217090132528,3217040132528,3217.090132528,3217.040132528,DVL_H1000,BI,-0.033,0.009,0.0
3218070633807,3218020633807,3218.070633807,3218.020633807,DVL_H1000,BI,-0.016,0.008,0.002
3220069032238,3220019032238,3220.069032238,3220.019032238,DVL_H1000,BI,0.004,0.024,0.002
3221050799626,3221000799626,3221.050799626,3221.000799626,DVL_H1000,BI,0.01,0.004,0.005
