t_s,E_m,N_m,U_m,vE_mps,vN_mps,vU_mps,yaw_deg,src_used
2392.695122586,0.8937188847463057,1.9610213837116388,3.6725310949736802,0.02113033949211019,-0.028960389372751808,-0.0032870351879424145,-53.884425888612476,BI
2393.695229749,0.9148514886289951,1.9320578908566692,3.6692437075371847,0.010649257277717619,-0.012657563717689778,-0.01415554308974409,-49.40798646152243,BI
2394.672289403,0.925256448260116,1.9196906960301836,3.655412897503741,0.01754487285664735,-0.024995753907403842,-0.006355290948853899,-45.8720336893327,BI
2395.671685491,0.9427907255575092,1.89471003735851,3.649061444591354,0.010799010593860622,-0.009924967694154768,-0.006471196679414889,-39.93922468849456,BI
2396.671764904,0.9535905937331991,1.8847842814928948,3.6425897340147966,0.0009094598963550063,-0.026724946864877586,-0.012567819928945173,-31.278896306469107,BI
2397.652839301,0.954482841552611,1.858565120362586,3.6302597676564057,0.012137896944564576,-0.0212121518402689,-0.0039643501445390285,-24.31361844971078,BI
2398.652323346,0.9666144758885565,1.8373639130381214,3.6262974629381457,0.021887300423145156,-0.008812963501872523,0.00206827331405999,-18.59883838503669,BI
2399.65147077,0.9884831157246574,1.828558463257419,3.628363972892017,0.0237312399315214,-0.011121206760085742,0.003338714050646998,-12.842612829189472,BI
2400.633586987,1.0117899513109252,1.8176361457457275,3.6316429781050834,0.020283232496096034,-0.0070481074139607065,0.0034517620703904484,-3.0195774133016786,BI
2401.630017195,1.032000776885927,1.8106131986092266,3.63508241810285,0.02127189777157124,0.006249307156562198,0.007902691013747352,12.239761981938328,BI
2402.633799021,1.0533531212735556,1.8168861395580742,3.6430149957189415,0.017041244475419194,0.0015706125509962101,0.001768944019365205,28.577576263440474,BI
2403.616572064,1.0701007969631733,1.818429695234191,3.64475346621575,0.011957538731831825,0.008856940868975597,0.006676216437489998,39.39486856060175,BI
2404.616978472,1.0820631953344046,1.8272902356347902,3.6514323959210095,0.01860741693048178,0.005482389668281036,0.006686362142476672,43.976206999330635,BI
2405.615638111,1.1006456716089206,1.8327652769217726,3.658109795924438,0.011402593282151851,0.006407114825201343,0.00969173596723057,42.579219872902534,BI
2407.598207945,1.1232521090794865,1.8454678294971913,3.677324339292163,0.011579785789418151,0.0034387543763677105,0.00812917765891491,35.83953314542031,BI
2415.537433004,1.2151866345966862,1.8727688744137956,3.7418637102708825,-0.00808802172286227,0.010547448884243757,-0.0018262602894366221,9.417496239336382,BI
2417.537297917,1.1990116837375502,1.8938623473590581,3.7382114363960324,-0.007888721660807436,-0.004569533561672268,-0.007866856652250526,23.791651741065632,BI
2418.518744475,1.1912693250165323,1.8893775943732904,3.7304905370124035,-0.006197715792049911,-0.008513261493719908,-0.00819223398716864,37.47263707141655,BI
2419.518356769,1.1850740121160803,1.88086763352213,3.722301479203504,-0.004576459410242464,-0.015196785105522534,-0.013494952453527647,52.606033319791,BI
2420.51791823,1.1804995596617722,1.8656775127995544,3.7088124448129336,-0.0010854659669684112,-0.01871793420517682,-0.008570921929712396,63.13647322497526,BI
2421.498566799,1.1794350990145663,1.8473217974066098,3.7004073824875494,0.00032355024128352547,-0.014144692737375343,-0.005641186276538532,68.46596457897299,BI
2428.454732944,1.1816857682491895,1.748928964655449,3.6611663534930523,0.05251056306319459,0.0670168246742855,0.07040870668718711,58.8162026620786,BI
2429.458334813,1.2343854674816432,1.8161871751529934,3.7318286631181716,0.06435735857122789,0.0692907341790239,0.09235759067161858,51.154431839609934,BI
2430.43520897,1.2972545078826654,1.8838755026920462,3.8220504066480703,0.08376572965137198,0.06555686156170551,0.11164945337149051,42.25779644118022,BI
2431.439069545,1.3813436214157937,1.9496854514345812,3.9341308911080204,0.09946811503156905,0.05304917882361043,0.12072646237758795,31.767673929566524,BI
2432.439554994,1.4808600231443194,2.0027603829289933,4.054915960026022,0.10878481711418794,0.02710672325771938,0.11903398304544002,20.03663764246863,BI
2433.422469785,1.587786228922083,2.029403982154549,4.171916222593026,0.12012570624582969,-0.002027046263502176,0.1301603080143338,8.468861246741694,BI
